#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),,
,,,,
,acpilight,''a backward-compatible xbacklight replacement based on ACPI'',,
,alsa-oss,''OSS compatibility library'',,
,alsa-utils,''Advanced Linux Sound Architecture - Utilities'',,
,arch-install-scripts,''Scripts to aid in installing Arch Linux'',,
,atool,''A script for managing file archives of various types'',,
A,autojump,''A faster way to navigate your filesystem from the command line'',,
,base,''Minimal package set to define a basic Arch Linux installation'',,
,bison,''The GNU general-purpose parser generator'',,
,bluez-hid2hci,''Put HID proxying bluetooth HCI's into HCI mode'',,
,bluez-tools,''A set of tools to manage Bluetooth devices for Linux'',,
,bluez-utils,''Development and debugging utilities for the bluetooth protocol stack'',,
,calc,''Arbitrary precision console calculator'',,
,calcurse,''A text-based personal organizer.'',,
,code,''The Open Source build of Visual Studio Code (vscode) editor'',,
,cronie,''Daemon that runs specified programs at scheduled times and related tools'',,
,darkhttpd,''A small and secure static webserver'',,
,dash,''POSIX compliant shell that aims to be as small as possible'',,
,dialog,''A tool to display dialog boxes from shell scripts'',,
,dunst,''Customizable and lightweight notification-daemon'',,
,espeak,''Text to Speech engine for English,with support for other languages'',
,figlet,''A program for making large letters out of ordinary text'',,
,flameshot,''Powerful yet simple to use screenshot software'',,
,flex,''A tool for generating text-scanning programs'',,
,fzf,''Command-line fuzzy finder'',,
,gimp,''GNU Image Manipulation Program'',,
,gource,''software version control visualization'',,
,grc,''Yet another colouriser for beautifying your logfiles or output of commands'',,
,grub,''GNU GRand Unified Bootloader (2)'',,
,gtop,''System monitoring dashboard for terminal'',,
,i3lock,''Improved screenlocker based upon XCB and PAM'',,
,intel-ucode,''Microcode update files for Intel CPUs'',,
A,lf-git,''lf is a terminal file manager written in Go'',,
,linux-lts,''The LTS Linux kernel and modules'',,
,lxappearance,''Feature-rich GTK+ theme switcher of the LXDE Desktop'',,
,macchanger,''A small utility to change your NIC's MAC address'',,
,make,''GNU make utility to maintain groups of programs'',,
,mediainfo,''Supplies technical and tag information about a video or audio file (CLI interface)'',,
,mp3info,''An MP3 technical info viewer and ID3 1.x tag editor'',,
,mpc,''Minimalist command line interface to MPD'',,
,mpd,''Flexible,powerful,server-side application for playing music''
,mplayer,''Media player for Linux'',,
,mpv,''a free,open source,and cross-platform media player''
,mtpfs,''A FUSE filesystem that supports reading and writing from any MTP device'',,
A,mutt-wizard-git,''Simple interface to auto-configure neomutt and isync with safe passwords'',,
,ncmpcpp,''Almost exact clone of ncmpc with some new features'',,
,neofetch,''A CLI system information tool written in BASH that supports displaying images.'',,
,neovim,''Fork of Vim aiming to improve user experience,plugins,and GUIs''
,net-tools,''Configuration tools for Linux networking'',,
,newsboat,''An RSS/Atom feed reader for text terminals'',,
,odt2txt,''extracts the text out of OpenDocument Texts'',,
,opus-tools,''Collection of tools for Opus audio codec'',,
A,opustags,''Opus tags editor'',,
,pacman-contrib,''Contributed scripts and tools for pacman systems'',,
,pamixer,''Pulseaudio command-line mixer like amixer'',,
,patch,''A utility to apply patch files to original sources'',,
,pkgconf,''Package compiler and linker metadata toolkit'',,
,plocate,''Alternative to locate,faster and compatible with mlocate's database.'',
,powertop,''A tool to diagnose issues with power consumption and power management'',,
,progress,''Shows running coreutils basic commands and displays stats'',,
,pulsemixer,''CLI and curses mixer for pulseaudio'',,
,python-pywal,''Generate and change colorschemes on the fly'',,
,redshift,''Adjusts the color temperature of your screen according to your surroundings.'',,
,rmlint,''Tool to remove duplicates and other lint,being much faster than fdupes'',
,rsync,''A fast and versatile file copying tool for remote and local files'',,
A,sc-im,''A spreadsheet program based on SC'',,
,screenkey,''A screencast tool to display your keys inspired by Screenflick'',,
,sdcv,''StarDict Console Version'',,
,shellcheck,''Shell script analysis tool'',,
A,simple-mtpfs,''A FUSE filesystem that supports reading/writing from MTP devices'',,
,slock,''A simple screen locker for X'',,
,sxiv,''Simple X Image Viewer'',,
,syncthing,''Open Source Continuous Replication / Cluster Synchronization Thing'',,
,tlp,''Linux Advanced Power Management'',,
,ttf-joypixels,''Emoji as a Service (formerly EmojiOne)'',,
A,vidir,''Command-line utility to allow for editing directory contents with an editor'',,
,vivaldi,''An advanced browser made with the power user in mind.'',,
,webkit2gtk,''GTK+ Web content engine library'',,
,wget,''Network utility to retrieve files from the Web'',,
,xautolock,''An automatic X screen-locker/screen-saver'',,
,xcape,''Configure modifier keys to act as other keys when pressed and released on their own'',,
,xcompmgr,''Composite Window-effects manager for X.org'',,
,xf86-video-vesa,''X.org vesa video driver'',,
,xorg-bdftopcf,''Convert X font from Bitmap Distribution Format to Portable Compiled Format'',,
,xorg-docs,''X.org documentations'',,
,xorg-font-util,''X.Org font utilities'',,
,xorg-fonts-100dpi,''X.org 100dpi fonts'',,
,xorg-fonts-75dpi,''X.org 75dpi fonts'',,
,xorg-iceauth,''ICE authority file utility'',,
,xorg-mkfontscale,''Create an index of scalable font files for X'',,
,xorg-server,''Xorg X server'',,
,xorg-server-devel,''Development files for the X.Org X server'',,
,xorg-server-xephyr,''A nested X server that runs as an X application'',,
,xorg-server-xnest,''A nested X server that runs as an X application'',,
,xorg-server-xvfb,''Virtual framebuffer X server'',,
,xorg-server-xwayland,''run X clients under wayland'',,
,xorg-sessreg,''Register X sessions in system utmp/utmpx databases'',,
,xorg-smproxy,''Allows X applications that do not support X11R6 session management to participate in an X11R6 session'',,
,xorg-x11perf,''Simple X server performance benchmarker'',,
,xorg-xcmsdb,''Device Color Characterization utility for X Color Management System'',,
,xorg-xcursorgen,''Create an X cursor file from PNG images'',,
,xorg-xdriinfo,''Query configuration information of DRI drivers'',,
,xorg-xev,''Print contents of X events'',,
,xorg-xgamma,''Alter a monitor's gamma correction'',,
,xorg-xhost,''Server access control program for X'',,
,xorg-xinit,''X.Org initialisation program'',,
,xorg-xinput,''Small commandline tool to configure devices'',,
,xorg-xkbevd,''XKB event daemon'',,
,xorg-xkbutils,''XKB utility demos'',,
,xorg-xkill,''Kill a client by its X resource'',,
,xorg-xlsatoms,''List interned atoms defined on server'',,
,xorg-xlsclients,''List client applications running on a display'',,
,xorg-xpr,''Print an X window dump from xwd'',,
,xorg-xrefresh,''Refresh all or part of an X screen'',,
,xorg-xsetroot,''Classic X utility to set your root window background to a given pattern or color'',,
,xorg-xvinfo,''Prints out the capabilities of any video adaptors associated with the display that are accessible through the X-Video extension'',,
,xorg-xwd,''X Window System image dumping utility'',,
,xorg-xwud,''X Window System image undumping utility'',,
,xwallpaper,''Wallpaper setting utility for X'',,
A,yay,''Yet another yogurt. Pacman wrapper and AUR helper written in go.'',,
,zsh-autosuggestions,''Fish-like autosuggestions for zsh'',,
,zsh-syntax-highlighting,''Fish shell like syntax highlighting for Zsh'',,
G,https://github.com/maki10111/dotfiles.git,''My dotfiles'',,
G,https://github.com/maki10111/dwm.git,''My build of dwm'',,
G,https://github.com/maki10111/dwmblocks.git,''My build of dwmblocks'',,
G,https://github.com/maki10111/st.git,''My build of st'',,
G,https://github.com/maki10111/dmenu..git,''My build of dmenu'',,
G,https://github.com/maki10111/slock.git,''My build of slock'',,
G,https://github.com/maki10111/surf.git,''Not my build'',,
